<0.20791169081775943, -0.9781476007338056, 0.0>,<0.9781476007338056, 0.20791169081775943, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, -0.354118572530698>,
<0.30901699437494723, -0.9510565162951536, 0.0>,<0.9510565162951536, 0.30901699437494723, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, -0.32491969623290634>,
<0.40673664307579976, -0.9135454576426011, 0.0>,<0.9135454576426011, 0.40673664307579976, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, -0.2962134949620804>,
<0.5000000000000001, -0.8660254037844386, 0.0>,<0.8660254037844386, 0.5000000000000001, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, -0.2679491924311227>,
<0.5877852522924729, -0.8090169943749476, 0.0>,<0.8090169943749476, 0.5877852522924729, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, -0.24007875908011606>,
<0.6691306063588578, -0.7431448254773946, 0.0>,<0.7431448254773946, 0.6691306063588578, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, -0.21255656167002226>,
<0.7431448254773942, -0.6691306063588581, 0.0>,<0.6691306063588581, 0.7431448254773942, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, -0.18533904493153436>,
<0.8090169943749473, -0.5877852522924734, 0.0>,<0.5877852522924734, 0.8090169943749473, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, -0.15838444032453636>,
<0.8660254037844384, -0.5000000000000004, 0.0>,<0.5000000000000004, 0.8660254037844384, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, -0.13165249758739597>,
<0.913545457642601, -0.40673664307580015, 0.0>,<0.40673664307580015, 0.913545457642601, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, -0.10510423526567646>,
<0.9510565162951535, -0.3090169943749476, 0.0>,<0.3090169943749476, 0.9510565162951535, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, -0.0787017068246185>,
<0.9781476007338056, -0.20791169081775987, 0.0>,<0.20791169081775987, 0.9781476007338056, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, -0.05240777928304133>,
<0.9945218953682733, -0.10452846326765342, 0.0>,<0.10452846326765342, 0.9945218953682733, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, -0.026185921569186914>,
